config,proposal_id,proposal_key,ground_truth,predicted,detected,latency_ms,neighbor_count
A_base_unidirectional,c-sem-01,p-api-01,conflict,benign,False,5118.7,2
A_base_unidirectional,c-sem-02,p-dec-05,conflict,conflict,True,3782.4,10
A_base_unidirectional,c-sem-03,p-dec-07,conflict,conflict,True,1575.4,4
A_base_unidirectional,c-sem-04,p-dec-04,conflict,conflict,True,3540.5,10
A_base_unidirectional,c-sem-05,p-dec-08,conflict,conflict,True,3595.6,10
A_base_unidirectional,c-sem-06,p-feat-09,conflict,conflict,True,3644.1,10
A_base_unidirectional,c-sem-07,p-dec-02,conflict,conflict,True,3718.6,10
A_base_unidirectional,c-sem-08,p-dec-03,conflict,conflict,True,808.0,2
A_base_unidirectional,c-sem-09,p-sem-09,conflict,conflict,True,2621.5,6
A_base_unidirectional,c-sem-10,p-con-06,conflict,conflict,True,6200.5,10
A_base_unidirectional,c-sem-11,p-sem-11,conflict,conflict,True,5816.4,10
A_base_unidirectional,c-sem-12,p-sem-12,conflict,conflict,True,1336.9,2
A_base_unidirectional,c-sem-13,p-sem-13,conflict,conflict,True,6217.7,10
A_base_unidirectional,c-sem-14,p-sem-14,conflict,conflict,True,3446.3,5
A_base_unidirectional,c-sem-15,p-sem-15,conflict,conflict,True,6574.9,10
A_base_unidirectional,c-sem-16,p-sem-16,conflict,conflict,True,6013.5,10
A_base_unidirectional,c-sem-17,p-sem-17,conflict,benign,False,1940.8,3
A_base_unidirectional,c-sem-18,p-sem-18,conflict,conflict,True,3022.1,6
A_base_unidirectional,c-sem-19,p-sem-19,conflict,conflict,True,6778.5,10
A_base_unidirectional,c-sem-20,p-sem-20,conflict,conflict,True,1594.0,2
A_base_unidirectional,c-sem-21,p-sem-21,conflict,conflict,True,6162.7,10
A_base_unidirectional,c-sem-22,p-sem-22,conflict,conflict,True,3531.2,10
A_base_unidirectional,c-sem-23,p-sem-23,conflict,conflict,True,3416.2,10
A_base_unidirectional,c-sem-24,p-sem-24,conflict,conflict,True,2096.5,6
A_base_unidirectional,c-sem-25,p-sem-25,conflict,conflict,True,3217.5,9
A_base_unidirectional,c-sem-26,p-sem-26,conflict,conflict,True,3508.7,10
A_base_unidirectional,c-sem-27,p-sem-27,conflict,conflict,True,791.1,2
A_base_unidirectional,c-sem-28,p-sem-28,conflict,conflict,True,1711.9,5
A_base_unidirectional,c-sem-29,p-sem-29,conflict,conflict,True,1470.2,4
A_base_unidirectional,c-sem-30,p-sem-30,conflict,benign,False,759.1,2
